 2016-01-21 00:00:02|191|11|    1369|   14|         무광(310)
 2016-01-21 01:00:09|191|12|    1570|   11|         장임(221)
 2016-01-21 02:00:02|192| 1|    1385|   10|      북오더(201)
 2016-01-21 03:00:18|192| 2|     758|    4|      정휘인(169)
 2016-01-21 04:00:01|192| 3|     663|    4|      정휘인(180)
 2016-01-21 05:00:01|192| 4|     405|    3|      정휘인(172)
 2016-01-21 06:00:13|192| 5|     407|    5|       정휘인(59)
 2016-01-21 07:00:02|192| 6|     447|    5|          진리(96)
 2016-01-21 08:00:01|192| 7|    1978|   10|      하루카(492)
 2016-01-21 09:00:08|192| 8|    1742|    9|      하루카(333)
 2016-01-21 10:00:11|192| 9|    1999|   10|      하루카(483)
 2016-01-21 11:00:43|192|10|    1993|   11|      하루카(261)
 2016-01-21 12:00:25|192|11|    2049|   14|      하루카(238)
 2016-01-21 13:00:04|192|12|    2038|   18|      하루카(296)
 2016-01-21 14:00:01|193| 1|    2518|   14|      하루카(471)
 2016-01-21 15:00:02|193| 2|    1596|   11|         카토(235)
 2016-01-21 16:00:02|193| 3|    1520|   12|      하루카(323)
 2016-01-21 17:00:11|193| 4|    2022|   11|      하루카(283)
 2016-01-21 18:00:00|193| 5|    1377|   14|         카토(230)
 2016-01-21 19:00:01|193| 6|    1497|   13|         카토(325)
 2016-01-21 20:00:22|193| 7|    1686|   10|      하루카(292)
 2016-01-21 21:00:01|193| 8|    1423|   15|         카토(193)
 2016-01-21 22:00:02|193| 9|    1562|   10|      하루카(267)
 2016-01-21 23:00:07|193|10|    2037|   10|      하루카(384)
 2016-01-22 00:00:17|193|11|    2234|   12|      하루카(493)
 2016-01-22 01:00:12|193|12|    1778|   14|      하루카(426)
 2016-01-22 02:00:16|194| 1|    1848|   10|      하루카(400)
 2016-01-22 03:00:25|194| 2|    1458|    9|      하루카(351)
 2016-01-22 04:00:16|194| 3|    1812|   11|   평민킬러(295)
 2016-01-22 05:00:01|194| 4|    1271|    5|   평민킬러(325)
 2016-01-22 06:00:02|194| 5|     801|    1|      하루카(237)
 2016-01-22 07:00:02|194| 6|     419|    1|      하루카(127)
 2016-01-22 08:00:01|194| 7|     362|    3|       대악마(45)
 2016-01-22 09:00:01|194| 8|     482|    4|       대악마(57)
 2016-01-22 10:00:01|194| 9|     823|    8|      소드락(174)
 2016-01-22 11:00:01|194|10|     984|   11|         카토(136)
 2016-01-22 12:00:01|194|11|     775|    7|          카토(78)
 2016-01-22 13:00:08|194|12|    1085|   12|   평민킬러(129)
 2016-01-22 14:00:34|195| 1|     994|   10|      하루카(123)
 2016-01-22 15:00:13|195| 2|     779|    5|         카토(140)
 2016-01-22 16:00:01|195| 3|     793|    4|         무광(141)
 2016-01-22 17:00:01|195| 4|     589|    7|          무광(91)
 2016-01-22 18:00:12|195| 5|    1022|   13|      정휘인(121)
 2016-01-22 19:00:02|195| 6|     563|    3|          무광(48)
 2016-01-22 20:00:10|195| 7|     652|    8|          무광(89)
 2016-01-22 21:00:01|195| 8|     608|    4|          감정(69)
 2016-01-22 22:00:05|195| 9|     643|    8|          비월(63)
 2016-01-22 23:00:05|195|10|     548|    5|          쿠요(43)
 2016-01-23 00:00:17|195|11|     689|   11|         쿠요(127)
 2016-01-23 01:00:02|195|12|     713|    7|       소드락(67)
 2016-01-23 02:00:01|196| 1|     716|    6|    평민킬러(92)
 2016-01-23 03:00:52|196| 2|     472|    5|       하루카(53)
 2016-01-23 04:00:01|196| 3|     500|    2|   평민킬러(165)
 2016-01-23 05:00:16|196| 4|     257|    3|    평민킬러(37)
 2016-01-23 06:00:02|196| 5|     552|    3|   강서유서(280)
